,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
2829,"[""['데코·식물', '시계', '알람·탁상시계']""]","[""['조명', '단스탠드']""]",0.02235161532682194,0.15326821938392185,0.004695717505634861,0.21008403361344535,1.3706953369583128,0.0012699252241384854,1.0719264031203541
1188,"[""['데코·식물', '홈갤러리', '그림·사진', '명화']""]","[""['가구', '의자', '인테리어의자']""]",0.006386175807663411,0.22689706987227648,0.001314800901577761,0.20588235294117646,0.9073821581612778,-0.00013420367687028557,0.9735370231237999
1187,"[""['데코·식물', '플라워·식물', '화병·화분', '화분받침대']""]","[""['가구', '의자', '인테리어의자']""]",0.006386175807663411,0.22689706987227648,0.001314800901577761,0.20588235294117646,0.9073821581612778,-0.00013420367687028557,0.9735370231237999
4906,"[""['데코·식물', '인테리어소품', '모빌·가랜드']"", ""['가구', '소파', '일반소파']""]","[""['가구', '테이블·식탁·책상', '사이드테이블']""]",0.006386175807663411,0.07344102178812922,0.001314800901577761,0.20588235294117646,2.803369941326914,0.0008457936249443288,1.1667779725630965
2789,"[""['데코·식물', '시계', '벽시계']""]","[""['조명', '단스탠드']""]",0.04695717505634861,0.15326821938392185,0.009579263711495116,0.204,1.331,0.002382221103309454,1.0637333927337664
6638,"[""['데코·식물', '인테리어소품', '장식소품']"", ""['가구', '의자', '인테리어의자']""]","[""['조명', '천장등', '펜던트조명']""]",0.005634861006761833,0.14556724267468069,0.0011269722013523666,0.2,1.3739354838709679,0.0003067210217429713,1.0680409466566492
6680,"[""['데코·식물', '홈갤러리', '그림·사진', '풍경·자연']"", ""['가구', '의자', '인테리어의자']""]","[""['조명', '단스탠드']""]",0.006574004507888805,0.15326821938392185,0.001314800901577761,0.2,1.304901960784314,0.0003072149364317686,1.0584147257700975
3138,"[""['데코·식물', '홈갤러리', '그림·사진', '일러스트·드로잉']""]","[""['조명', '단스탠드']""]",0.04132231404958678,0.15326821938392185,0.008264462809917356,0.2,1.304901960784314,0.0019310653147139728,1.0584147257700975
2963,"[""['데코·식물', '플라워·식물', '식물', '모종·씨앗']""]","[""['데코·식물', '플라워·식물', '화병·화분', '화분']""]",0.005634861006761833,0.043012772351615325,0.0011269722013523666,0.2,4.649781659388647,0.0008846012076355259,1.1962340345604807
1178,"[""['데코·식물', '플라워·식물', '조화', '조화꽃']""]","[""['가구', '의자', '인테리어의자']""]",0.015965439519158527,0.22689706987227648,0.0031930879038317055,0.2,0.8814569536423842,-0.00042942354228841075,0.9663786626596543
6632,"[""['데코·식물', '인테리어소품', '장식소품']"", ""['가구', '의자', '인테리어의자']""]","[""['데코·식물', '플라워·식물', '화병·화분', '화병']""]",0.005634861006761833,0.0640495867768595,0.0011269722013523666,0.2,3.1225806451612907,0.0007660616823242327,1.1699380165289257
1199,"[""['데코·식물', '홈갤러리', '액자']""]","[""['가구', '의자', '인테리어의자']""]",0.03850488354620586,0.22689706987227648,0.007700976709241172,0.19999999999999998,0.8814569536423841,-0.0010356685431661692,0.9663786626596543
3175,"[""['데코·식물', '홈갤러리', '패브릭포스터', '풍경·자연']""]","[""['데코·식물', '홈갤러리', '그림·사진', '풍경·자연']""]",0.010518407212622089,0.036626596543951916,0.002066115702479339,0.19642857142857142,5.363003663003663,0.0016808622452176357,1.1988646798564153
3255,"[""['데코·식물', '홈갤러리', '패브릭포스터', '풍경·자연']""]","[""['패브릭', '이불·이불솜', '이불', '이불커버']""]",0.010518407212622089,0.06480090157776108,0.002066115702479339,0.19642857142857142,3.031262939958592,0.0013845134319394026,1.1638033224810085
393,"[""['데코·식물', '홈갤러리', '패브릭포스터', '풍경·자연']""]","[""['가구', '서랍·수납장', '수납장']""]",0.010518407212622089,0.06592787377911345,0.002066115702479339,0.19642857142857142,2.9794464794464792,0.0013726594794082733,1.162400868185992
2956,"[""['데코·식물', '캔들·디퓨저', '홈퍼퓸·사쉐']""]","[""['조명', '단스탠드']""]",0.0067618332081141996,0.15326821938392185,0.001314800901577761,0.19444444444444445,1.2686546840958608,0.00027842676599902595,1.051115313868235
7731,"[""['데코·식물', '인테리어소품', '장식소품']"", ""['조명', '단스탠드']""]","[""['패브릭', '이불·이불솜', '이불', '차렵이불']""]",0.005822689706987227,0.054094665664913597,0.0011269722013523666,0.1935483870967742,3.577956989247312,0.0008119957483823588,1.1729226145755072
2881,"[""['데코·식물', '캔들·디퓨저', '캔들홀더·워머', '캔들홀더']""]","[""['데코·식물', '인테리어소품', '장식소품']""]",0.016716754320060104,0.03343350864012021,0.0031930879038317055,0.1910112359550562,5.713167529352356,0.0026341881538372094,1.1947835795976292
3240,"[""['데코·식물', '홈갤러리', '패브릭포스터', '일러스트·드로잉']""]","[""['조명', '단스탠드']""]",0.009015777610818933,0.15326821938392185,0.0016904583020285499,0.1875,1.2233455882352942,0.00030862612125690295,1.0421314222967115
2854,"[""['데코·식물', '인테리어소품', '모빌·가랜드']""]","[""['조명', '단스탠드']""]",0.029301277235161533,0.15326821938392185,0.005447032306536439,0.1858974358974359,1.212889643036702,0.0009560777190285854,1.0400799824890408
1173,"[""['데코·식물', '캔들·디퓨저', '캔들홀더·워머', '캔들홀더']""]","[""['가구', '의자', '인테리어의자']""]",0.016716754320060104,0.22689706987227648,0.003005259203606311,0.17977528089887643,0.7923208572066375,-0.000787723369390046,0.9425501476899643
1879,"[""['데코·식물', '홈갤러리', '그림·사진', '추상화']""]","[""['가구', '테이블·식탁·책상', '식탁', '식탁·입식테이블']""]",0.007325319308790383,0.1684823441021788,0.001314800901577761,0.1794871794871795,1.0653174398993799,8.061393313580517e-05,1.0134121431254697
4927,"[""['데코·식물', '홈갤러리', '그림·사진', '추상화']""]","[""['가구', '테이블·식탁·책상', '사이드테이블']"", ""['가구', '소파', '일반소파']""]",0.007325319308790383,0.027047332832456798,0.001314800901577761,0.1794871794871795,6.636039886039886,0.0011166705521288853,1.1857860631104433
1697,"[""['데코·식물', '홈갤러리', '그림·사진', '추상화']""]","[""['가구', '테이블·식탁·책상', '사이드테이블']""]",0.007325319308790383,0.07344102178812922,0.001314800901577761,0.1794871794871795,2.4439635385926946,0.0007768219666158828,1.1292437546957177
1196,"[""['데코·식물', '홈갤러리', '그림·사진', '풍경·자연']""]","[""['가구', '의자', '인테리어의자']""]",0.036626596543951916,0.22689706987227648,0.006574004507888805,0.1794871794871795,0.7910511122431653,-0.0017364629273279326,0.942219196093163
1203,"[""['데코·식물', '홈갤러리', '패브릭포스터', '풍경·자연']""]","[""['가구', '의자', '인테리어의자']""]",0.010518407212622089,0.22689706987227648,0.0018782870022539444,0.17857142857142858,0.7870151371807002,-0.0005083087740134268,0.9411687845033155
1887,"[""['데코·식물', '홈갤러리', '패브릭포스터', '풍경·자연']""]","[""['가구', '테이블·식탁·책상', '식탁', '식탁·입식테이블']""]",0.010518407212622089,0.1684823441021788,0.0018782870022539444,0.17857142857142858,1.0598821468386688,0.00010612109885011021,1.0122823637016956
797,"[""['데코·식물', '홈갤러리', '그림·사진', '명화']""]","[""['가구', '소파', '일반소파']""]",0.006386175807663411,0.16829451540195342,0.0011269722013523666,0.1764705882352941,1.0485819327731092,5.221383852997436e-05,1.0099280884404853
5397,"[""['데코·식물', '인테리어소품', '모빌·가랜드']"", ""['가구', '소파', '일반소파']""]","[""['패브릭', '러그·카페트', '극세사·단모러그']""]",0.006386175807663411,0.057287753568745305,0.0011269722013523666,0.1764705882352941,3.0804243008678878,0.0007611225354362621,1.1447220135236664
4767,"[""['데코·식물', '인테리어소품', '모빌·가랜드']"", ""['가구', '소파', '일반소파']""]","[""['가구', '테이블·식탁·책상', '거실·소파테이블']""]",0.006386175807663411,0.0608564988730278,0.0011269722013523666,0.1764705882352941,2.8997821350762525,0.0007383319005103408,1.140388537082752
8379,"[""['데코·식물', '인테리어소품', '모빌·가랜드']"", ""['가구', '소파', '일반소파']""]","[""['조명', '장스탠드']"", ""['패브릭', '쿠션·방석', '쿠션']""]",0.006386175807663411,0.009579263711495116,0.0011269722013523666,0.1764705882352941,18.422145328719722,0.0010657973391827885,1.2026537512074702
5366,"[""['데코·식물', '인테리어소품', '모빌·가랜드']"", ""['가구', '소파', '일반소파']""]","[""['데코·식물', '시계', '벽시계']""]",0.006386175807663411,0.04695717505634861,0.0011269722013523666,0.1764705882352941,3.7581176470588233,0.0008270954260112973,1.1572662874315767
5234,"[""['데코·식물', '인테리어소품', '모빌·가랜드']"", ""['가구', '소파', '일반소파']""]","[""['가전', '계절가전', '선풍기', '실링팬']""]",0.006386175807663411,0.04601803155522164,0.0011269722013523666,0.1764705882352941,3.8348139255702276,0.0008330929615181187,1.1584066759686595
3093,"[""['데코·식물', '플라워·식물', '화병·화분', '화분받침대']""]","[""['데코·식물', '플라워·식물', '화병·화분', '화분']""]",0.006386175807663411,0.043012772351615325,0.0011269722013523666,0.1764705882352941,4.102748522989982,0.0008522850751399472,1.1620559192873243
3126,"[""['데코·식물', '플라워·식물', '화병·화분', '화분받침대']""]","[""['조명', '천장등', '펜던트조명']""]",0.006386175807663411,0.14556724267468069,0.0011269722013523666,0.1764705882352941,1.2122960151802655,0.00019735419779505188,1.0375254910378877
2896,"[""['데코·식물', '인테리어소품', '장식소품']""]","[""['조명', '단스탠드']""]",0.03343350864012021,0.15326821938392185,0.005822689706987227,0.17415730337078653,1.1362910332672396,0.0006983953699590366,1.0252942649636865
1876,"[""['데코·식물', '홈갤러리', '그림·사진', '일러스트·드로잉']""]","[""['가구', '테이블·식탁·책상', '식탁', '식탁·입식테이블']""]",0.04132231404958678,0.1684823441021788,0.007137490608564989,0.17272727272727273,1.0251950947603123,0.0001754102737642118,1.0051312324039596
2970,"[""['데코·식물', '플라워·식물', '식물', '소형식물']""]","[""['조명', '단스탠드']""]",0.02066115702479339,0.15326821938392185,0.0035687453042824945,0.17272727272727273,1.1269607843137257,0.0004020465566808031,1.0235219326128417
3016,"[""['데코·식물', '플라워·식물', '식물', '행잉식물']""]","[""['패브릭', '이불·이불솜', '이불', '이불커버']""]",0.007700976709241172,0.06480090157776108,0.001314800901577761,0.17073170731707318,2.634711912336515,0.0008157706677895935,1.1277400892738765
3015,"[""['데코·식물', '플라워·식물', '식물', '행잉식물']""]","[""['데코·식물', '플라워·식물', '화병·화분', '화분']""]",0.007700976709241172,0.043012772351615325,0.001314800901577761,0.17073170731707318,3.969325806795186,0.0009835605434980789,1.1540140098112874
3211,"[""['데코·식물', '홈갤러리', '액자']""]","[""['조명', '단스탠드']""]",0.03850488354620586,0.15326821938392185,0.006574004507888805,0.17073170731707316,1.1139406982305118,0.0006724295691765622,1.0210589119193882
1183,"[""['데코·식물', '플라워·식물', '화병·화분', '화병']""]","[""['가구', '의자', '인테리어의자']""]",0.0640495867768595,0.22689706987227648,0.010894064613072877,0.17008797653958946,0.7496261482589192,-0.0036385989531266486,0.9315480536167976
3065,"[""['데코·식물', '플라워·식물', '화병·화분', '화병']""]","[""['조명', '단스탠드']""]",0.0640495867768595,0.15326821938392185,0.010894064613072877,0.17008797653958946,1.1097406704617332,0.0010772984955076358,1.0202669158660165
790,"[""['데코·식물', '플라워·식물', '조화', '조화식물']""]","[""['가구', '소파', '일반소파']""]",0.014462809917355372,0.16829451540195342,0.002441773102930128,0.16883116883116883,1.003188775510204,7.76151653823949e-06,1.0006456611570247
3038,"[""['데코·식물', '플라워·식물', '조화', '조화식물']""]","[""['조명', '단스탠드']""]",0.014462809917355372,0.15326821938392185,0.002441773102930128,0.16883116883116883,1.1015406162464987,0.00022508397960894393,1.018724173553719
1180,"[""['데코·식물', '플라워·식물', '조화', '조화식물']""]","[""['가구', '의자', '인테리어의자']""]",0.014462809917355372,0.22689706987227648,0.002441773102930128,0.16883116883116883,0.7440870387890256,-0.0008397960894375072,0.9301394628099172
1160,"[""['데코·식물', '인테리어소품', '장식소품']""]","[""['가구', '의자', '인테리어의자']""]",0.03343350864012021,0.22689706987227648,0.005634861006761833,0.16853932584269662,0.7428008036312226,-0.0019511041392308815,0.9298129835319917
2947,"[""['데코·식물', '캔들·디퓨저', '캔들홀더·워머', '캔들홀더']""]","[""['조명', '단스탠드']""]",0.016716754320060104,0.15326821938392185,0.0028174305033809165,0.16853932584269662,1.099636483807006,0.00025528333486682115,1.0183666010112291
801,"[""['데코·식물', '홈갤러리', '그림·사진', '일러스트·드로잉']""]","[""['가구', '소파', '일반소파']""]",0.04132231404958678,0.16829451540195342,0.006949661908339595,0.16818181818181818,0.9993303571428571,-4.656909922943868e-06,0.9998645170031162
3244,"[""['데코·식물', '홈갤러리', '패브릭포스터', '일러스트·드로잉']""]","[""['패브릭', '이불·이불솜', '이불', '이불커버']""]",0.009015777610818933,0.06480090157776108,0.0015026296018031556,0.16666666666666669,2.5719806763285025,0.000918399084197496,1.1222389181066867
799,"[""['데코·식물', '홈갤러리', '그림·사진', '식물·꽃']""]","[""['가구', '소파', '일반소파']""]",0.0067618332081141996,0.16829451540195342,0.0011269722013523666,0.16666666666666666,0.9903273809523809,-1.100724163604857e-05,0.9980465815176559
2954,"[""['데코·식물', '캔들·디퓨저', '홈퍼퓸·사쉐']""]","[""['데코·식물', '플라워·식물', '화병·화분', '화병']""]",0.0067618332081141996,0.0640495867768595,0.0011269722013523666,0.16666666666666666,2.6021505376344085,0.000693879578518606,1.1231404958677687
2959,"[""['데코·식물', '캔들·디퓨저', '홈퍼퓸·사쉐']""]","[""['패브릭', '베개·베개커버', '베개커버']""]",0.0067618332081141996,0.045078888054094664,0.0011269722013523666,0.16666666666666666,3.697222222222222,0.0008221562791233268,1.1459053343350865
